id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	nb_snp	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	commande	Notes	CO_NCO
16	WT10	1500	SK1-MLH3	10	2	788369	792149	792233	795756	790258.75	793994.75	(6:2)_(4:4aCO)	2_nonsis	85	3736	7386	2	3736	84	7387	788369_792233	792149_795756	792233_801693	795756_813184	3	1	15	1	1	0	1	2	1	0	792127	                      graph_bin_annot3(2,787000,796000,c(3,4,5,6))	NA	CO
7	WT10	1500	SK1-MLH3	10	2	158200	158707	159595	160143	158453.25	159869.25	(2:6)_(4:4aCO)	2_nonsis	889	1416	1942	2	1416	888	1943	158200_159595	158707_160143	159595_192289	160143_194226	10	1	16	1	1	0	1	2	1	0	159161	                      graph_bin_annot3(2,157000,161000,c(3,4,5,6))	NA	CO
12	WT10	1500	SK1-MLH3	10	2	482696	482828	483944	484506	482762	484225	(2:6)_(4:4aCO)	2_nonsis	1117	1463	1809	2	1463	1116	1810	482696_483944	482828_484506	483944_627055	484506_628267	4	1	16	1	1	0	1	2	1	0	483494	                      graph_bin_annot3(2,481000,485000,c(3,4,5,6))	NA	CO
14	WT10	1500	SK1-MLH3	10	2	633960	635577	635668	637399	634768.5	636533.5	(2:6)_(4:4aCO)	2_nonsis	92	1765	3438	2	1765	91	3439	633960_635668	635577_637399	635668_699162	637399_699878	2	1	16	1	1	0	1	2	1	0	635651	                      graph_bin_annot3(2,632000,638000,c(3,4,7,8))	NA	CO
9	WT10	1500	SK1-MLH3	10	2	306242	308890	308890	310030	307566	309460	(2:6)_(4:4aCO)	2_nonsis	1	1894	3787	2	1894	0	3788	306242_308890	308890_310030	308890_343713	310030_343838	1	1	16	1	1	0	1	2	1	0	308513	                      graph_bin_annot3(2,305000,311000,c(3,4,5,6))	NA	CO
15	WT10	1500	SK1-MLH3	10	2	699162	699878	702600	703042	699520	702821	(2:6)_(4:4aCO)	2_nonsis	2723	3301	3879	2	3301	2722	3880	699162_702600	699878_703042	702600_788369	703042_792149	15	1	16	1	1	0	1	2	1	0	701171	                      graph_bin_annot3(2,698000,704000,c(3,4,7,8))	NA	CO
11	WT10	1500	SK1-MLH3	10	2	408830	410815	408830	410815	409326.5	410318.5	(4:4aCO)	2_nonsis	0	992	1984	1	0	0	0	408830	410815	482696	482828	0	1	100	1	1	0	1	1	0	0	409823	                      graph_bin_annot3(2,407000,411000,c(1,2,7,8))	NA	CO
18	WT10	1500	SK1-MLH3	10	3	74577	75546	76198	76973	75061.5	76585.5	(6:2)_(4:4aCO)	2_nonsis	653	1524	2395	2	1524	652	2396	74577_76198	75546_76973	76198_161749	76973_162941	4	1	15	1	1	0	1	2	1	0	75824	                      graph_bin_annot3(3,73000,77000,c(1,2,3,4))	NA	CO
17	WT10	1500	SK1-MLH3	10	3	57857	59117	60663	61358	58486.75	61010.75	(6:2)_(4:4aCO)	2_nonsis	1547	2524	3500	2	2524	1546	3501	57857_60663	59117_61358	60663_74577	61358_75546	12	1	15	1	1	0	1	2	1	0	59749	                      graph_bin_annot3(3,56000,62000,c(1,2,5,6))	NA	CO
19	WT10	1500	SK1-MLH3	10	3	161749	162941	165034	167724	162345	166379	(6:2)_(4:4aCO)	2_nonsis	2094	4034	5974	2	4034	2093	5975	161749_165034	162941_167724	165034_230175	167724_231858	7	1	15	1	1	0	1	2	1	0	164362	                      graph_bin_annot3(3,160000,168000,c(3,4,5,6))	NA	CO
20	WT10	1500	SK1-MLH3	10	3	230175	231858	230175	231858	230596	231437	(4:4aCO)	2_nonsis	0	841	1682	1	0	0	0	230175	231858	303540	316620	0	1	100	1	1	0	1	1	0	0	231017	                      graph_bin_annot3(3,229000,232000,c(1,2,7,8))	NA	CO
36	WT10	1500	SK1-MLH3	10	4	1277377	1278468	1281447	1281774	1277922.5	1281610.5	6:2_4:4_6:2	1	2980	3688	4396	3	1819_1293_576	                      1212_819_0	2426_1767_1152	1277377_1279680_1280622_1281447	1278468_1279803_1281447_1281774	1279680_1280622_1281447_1469510	1279803_1281447_1281774_1469888	14	1	7	1	0	1	1	1	1	1	1279767	                      graph_bin_annot3(4,1276000,1282000,c(7,8))	NA	NCO
24	WT10	1500	SK1-MLH3	10	4	354974	356133	356945	358299	355553.75	357621.75	06:02	1	813	2068	3324	1	2068	812	3325	354974_356945	356133_358299	356945_443786	358299_445249	3	1	10	1	0	1	1	1	1	1	356588	                      graph_bin_annot3(4,353000,359000,c(3,4))	NA	NCO
32	WT10	1500	SK1-MLH3	10	4	997571	998004	999930	1000380	997787.25	1000155.25	06:02	1	1927	2368	2808	1	2368	1926	2809	997571_999930	998004_1000380	999930_1028509	1000380_1036067	18	1	10	1	0	1	1	1	1	1	998971	                      graph_bin_annot3(4,996000,1001000,c(3,4))	NA	NCO
27	WT10	1500	SK1-MLH3	10	4	546618	551387	552943	553105	549002.25	553024.25	06:02	1	1557	4022	6486	1	4022	1556	6487	546618_552943	551387_553105	552943_699153	553105_699202	10	1	10	1	0	1	1	1	1	1	551013	                      graph_bin_annot3(4,545000,554000,c(5,6))	NA	NCO
28	WT10	1500	SK1-MLH3	10	4	699153	699202	699202	699280	699177.25	699241.25	02:06	1	1	64	126	1	64	0	127	699153_699202	699202_699280	699202_805830	699280_806046	1	1	10.1	1	0	1	1	1	1	1	699209	                      graph_bin_annot3(4,698000,700000,c(1,2))	NA	NCO
21	WT10	1500	SK1-MLH3	10	4	139681	140685	142799	143626	140182.75	143212.75	02:06	1	2115	3030	3944	1	3030	2114	3945	139681_142799	140685_143626	142799_222481	143626_222741	14	1	10.1	1	0	1	1	1	1	1	141698	                      graph_bin_annot3(4,138000,144000,c(5,6))	NA	NCO
26	WT10	1500	SK1-MLH3	10	4	527530	539097	541985	542465	533313.25	542225.25	(2:6)_(4:4aCO)_(2:6)_(4:4a)	2_nonsis	2889	8912	14934	4	7392_878_641	                      1131_0_0	13653_1757_1282	527530_540228_541183_541985	539097_541183_541985_542465	540228_541183_541985_546618	541183_541985_542465_551387	7	1	12	1	1	0	1	1	0	0	537769	                      graph_bin_annot3(4,526000,543000,c(3,4,5,6))	NA	CO
37	WT10	1500	SK1-MLH3	10	4	1469510	1469888	1470079	1470381	1469699	1470230	(6:2)_(4:4aCO)	2_nonsis	192	531	870	2	531	191	871	1469510_1470079	1469888_1470381	1470079_1519267	1470381_1531933	3	1	15	1	1	0	1	2	1	0	1469965	                      graph_bin_annot3(4,1468000,1471000,c(3,4,7,8))	NA	CO
25	WT10	1500	SK1-MLH3	10	4	443786	445249	446066	446498	444517.75	446281.75	(6:2)_(4:4aCO)	2_nonsis	818	1764	2711	2	1764	817	2712	443786_446066	445249_446498	446066_527530	446498_539097	7	1	15	1	1	0	1	2	1	0	445400	                      graph_bin_annot3(4,442000,447000,c(5,6,7,8))	NA	CO
22	WT10	1500	SK1-MLH3	10	4	222481	222741	224112	224747	222611.25	224429.25	(6:2)_(4:4aCO)	2_nonsis	1372	1818	2265	2	1818	1371	2266	222481_224112	222741_224747	224112_271671	224747_272291	4	1	15	1	1	0	1	2	1	0	223520	                      graph_bin_annot3(4,221000,225000,c(5,6,7,8))	NA	CO
29	WT10	1500	SK1-MLH3	10	4	805830	806046	808329	808521	805938	808425	(6:2)_(4:4aCO)	2_nonsis	2284	2487	2690	2	2487	2283	2691	805830_808329	806046_808521	808329_832353	808521_832597	15	1	15	1	1	0	1	2	1	0	807182	                      graph_bin_annot3(4,804000,809000,c(1,2,5,6))	NA	CO
30	WT10	1500	SK1-MLH3	10	4	832353	832597	832700	832844	832475	832772	(2:6)_(4:4aCO)	2_nonsis	104	297	490	2	297	103	491	832353_832700	832597_832844	832700_868916	832844_884340	2	1	16	1	1	0	1	2	1	0	832624	                      graph_bin_annot3(4,831000,833000,c(1,2,3,4))	NA	CO
23	WT10	1500	SK1-MLH3	10	4	271671	272291	273848	274589	271980.75	274218.75	(2:6)_(4:4aCO)	2_nonsis	1558	2238	2917	2	2238	1557	2918	271671_273848	272291_274589	273848_354974	274589_356133	11	1	16	1	1	0	1	2	1	0	273100	                      graph_bin_annot3(4,270000,275000,c(1,2,3,4))	NA	CO
33	WT10	1500	SK1-MLH3	10	4	1028509	1036067	1037347	1039385	1032288	1038366	(2:6)_(4:4aCO)	2_nonsis	1281	6078	10875	2	6078	1280	10876	1028509_1037347	1036067_1039385	1037347_1089460	1039385_1111983	5	1	16	1	1	0	1	2	1	0	1035327	                      graph_bin_annot3(4,1027000,1040000,c(3,4,5,6))	NA	CO
31	WT10	1500	SK1-MLH3	10	4	868916	884340	868916	884340	872772	880484	(4:4aCO)	2_nonsis	0	7712	15423	1	0	0	0	868916	884340	997571	998004	0	1	100	1	1	0	1	1	0	0	876628	                      graph_bin_annot3(4,867000,885000,c(1,2,7,8))	NA	CO
34	WT10	1500	SK1-MLH3	10	4	1089460	1111983	1089460	1111983	1095091	1106352	(4:4aCO)	2_nonsis	0	11261	22522	1	0	0	0	1089460	1111983	1111983	1142622	0	1	100	1	1	0	1	1	0	0	1100722	                      graph_bin_annot3(4,1088000,1112000,c(1,2,7,8))	NA	CO
35	WT10	1500	SK1-MLH3	10	4	1111983	1142622	1111983	1142622	1119643	1134962	(4:4aCO)	2_nonsis	0	15319	30638	1	0	0	0	1111983	1142622	1277377	1278468	0	1	100	1	1	0	1	1	0	0	1127303	                      graph_bin_annot3(4,1110000,1143000,c(1,2,5,6))	NA	CO
42	WT10	1500	SK1-MLH3	10	5	204261	204510	205086	206003	204385.5	205544.5	06:02	1	577	1159	1741	1	1159	576	1742	204261_205086	204510_206003	205086_324501	206003_326163	5	1	10	1	0	1	1	1	1	1	204965	                      graph_bin_annot3(5,203000,207000,c(7,8))	NA	NCO
43	WT10	1500	SK1-MLH3	10	5	324501	326163	328271	329730	325332.25	329000.25	06:02	1	2109	3668	5228	1	3668	2108	5229	324501_328271	326163_329730	328271_339635	329730_339960	6	1	10	1	0	1	1	1	1	1	327166	                      graph_bin_annot3(5,323000,330000,c(3,4))	NA	NCO
46	WT10	1500	SK1-MLH3	10	5	544736	545025	545025	547317	544880.75	546170.75	02:06	1	1	1290	2580	1	1290	0	2581	544736_545025	545025_547317	545025_568461	547317_576874	1	1	10.1	1	0	1	1	1	1	1	545526	                      graph_bin_annot3(5,543000,548000,c(3,4))	NA	NCO
38	WT10	1500	SK1-MLH3	10	5	40634	40835	43074	44403	40734.5	43738.5	02:06	1	2240	3004	3768	1	3004	2239	3769	40634_43074	40835_44403	43074_131273	44403_132293	12	1	10.1	1	0	1	1	1	1	1	42237	                      graph_bin_annot3(5,39000,45000,c(5,6))	NA	NCO
41	WT10	1500	SK1-MLH3	10	5	194686	195341	197916	198126	195013.25	198021.25	02:06	1	2576	3008	3439	1	3008	2575	3440	194686_197916	195341_198126	197916_204261	198126_204510	29	1	10.1	1	0	1	1	1	1	1	196517	                      graph_bin_annot3(5,193000,199000,c(1,2))	NA	NCO
44	WT10	1500	SK1-MLH3	10	5	339635	339960	340292	340779	339797.5	340535.5	(6:2)_(4:4aCO)	2_nonsis	333	738	1143	2	738	332	1144	339635_340292	339960_340779	340292_415428	340779_416792	2	1	15	1	1	0	1	2	1	0	340167	                      graph_bin_annot3(5,338000,341000,c(5,6,7,8))	NA	CO
45	WT10	1500	SK1-MLH3	10	5	415428	416792	417297	417511	416110	417404	(6:2)_(4:4aCO)	2_nonsis	506	1294	2082	2	1294	505	2083	415428_417297	416792_417511	417297_544736	417511_545025	4	1	15	1	1	0	1	2	1	0	416757	                      graph_bin_annot3(5,414000,418000,c(1,2,3,4))	NA	CO
39	WT10	1500	SK1-MLH3	10	5	131273	132293	131273	132293	131528	132038	(4:4aCO)	2_nonsis	0	510	1019	1	0	0	0	131273	132293	136419	136509	0	1	100	1	1	0	1	1	0	0	131783	                      graph_bin_annot3(5,130000,133000,c(1,2,3,4))	NA	CO
40	WT10	1500	SK1-MLH3	10	5	136419	136509	136509	136721	136464	136615	(0:8)_(4:4)	2_sis	1	151	301	0	151	0	302	136419_136509	136509_136721	136509_194686	136721_195341	1	0	1	2	0	2	2	2	2	2	136540	                      graph_bin_annot3(5,135000,137000,c(1,2,5,6))	NA	NCO
47	WT10	1500	SK1-MLH3	10	6	63394	64052	64249	65183	63723	64716	02:06	1	198	993	1788	1	993	197	1789	63394_64249	64052_65183	64249_80834	65183_80997	2	1	10.1	1	0	1	1	1	1	1	64220	                      graph_bin_annot3(6,62000,66000,c(7,8))	NA	NCO
49	WT10	1500	SK1-MLH3	10	6	168788	169392	171501	172612	169090.25	172056.25	02:06	1	2110	2966	3823	1	2966	2109	3824	168788_171501	169392_172612	171501_204894	172612_205925	16	1	10.1	1	0	1	1	1	1	1	170573	                      graph_bin_annot3(6,167000,173000,c(7,8))	NA	NCO
48	WT10	1500	SK1-MLH3	10	6	80834	80997	83233	83611	80915.75	83421.75	(6:2)_(4:4aCO)	2_nonsis	2237	2506	2776	2	2506	2236	2777	80834_83233	80997_83611	83233_168788	83611_169392	18	1	15	1	1	0	1	2	1	0	82169	                      graph_bin_annot3(6,79000,84000,c(1,2,3,4))	NA	CO
51	WT10	1500	SK1-MLH3	10	6	254654	254774	256836	257077	254714.25	256956.25	(2:6)_(4:4aCO)	2_nonsis	2063	2242	2422	2	2242	2062	2423	254654_256836	254774_257077	256836_267081	257077_270161	22	1	16	1	1	0	1	2	1	0	255835	                      graph_bin_annot3(6,253000,258000,c(1,2,3,4))	NA	CO
50	WT10	1500	SK1-MLH3	10	6	204894	205925	207865	208024	205409.5	207944.5	(0:8)_(4:4)_(6:2)_(4:4)	3	1941	2535	3129	0	522_146_1867	                      0_49_1698	1045_242_2036	204894_205925_205988_207865	205925_205939_206167_208024	205925_205988_207865_254654	205939_206167_208024_254774	32	0	1	2	0	2	2	2	2	2	206677	                      graph_bin_annot3(6,203000,209000,c(1,2,3,4,7,8))	NA	NCO
57	WT10	1500	SK1-MLH3	10	7	471171	471870	474296	474400	471520.25	474348.25	06:02	1	2427	2828	3228	1	2828	2426	3229	471171_474296	471870_474400	474296_582800	474400_584683	14	1	10	1	0	1	1	1	1	1	472934	                      graph_bin_annot3(7,470000,475000,c(5,6))	NA	NCO
53	WT10	1500	SK1-MLH3	10	7	224994	225389	226681	230207	225191.75	228443.75	06:02	1	1293	3252	5212	1	3252	1292	5213	224994_226681	225389_230207	226681_254489	230207_255504	10	1	10	1	0	1	1	1	1	1	226818	                      graph_bin_annot3(7,223000,231000,c(3,4))	NA	NCO
54	WT10	1500	SK1-MLH3	10	7	254489	255504	257704	258958	254996.75	258330.75	06:02	1	2201	3334	4468	1	3334	2200	4469	254489_257704	255504_258958	257704_357335	258958_357841	16	1	10	1	0	1	1	1	1	1	256664	                      graph_bin_annot3(7,253000,259000,c(3,4))	NA	NCO
60	WT10	1500	SK1-MLH3	10	7	777976	778066	778066	778087	778020.75	778076.75	02:06	1	1	56	110	1	56	0	111	777976_778066	778066_778087	778066_900146	778087_900753	1	1	10.1	1	0	1	1	1	1	1	778049	                      graph_bin_annot3(7,776000,779000,c(5,6))	NA	NCO
62	WT10	1500	SK1-MLH3	10	7	949816	951500	951733	951976	950658.25	951854.25	02:06	1	234	1196	2159	1	1196	233	2160	949816_951733	951500_951976	951733_1010866	951976_1010934	6	1	10.1	1	0	1	1	1	1	1	951256	                      graph_bin_annot3(7,948000,952000,c(5,6))	NA	NCO
65	WT10	1500	SK1-MLH3	10	7	1062839	1063387	1063536	1067046	1063113	1065291	02:06	1	150	2178	4206	1	2178	149	4207	1062839_1063536	1063387_1067046	1063536_1068524	1067046_1090940	2	1	10.1	1	0	1	1	1	1	1	1064202	                      graph_bin_annot3(7,1061000,1068000,c(3,4))	NA	NCO
52	WT10	1500	SK1-MLH3	10	7	56448	61349	61936	62683	58898.5	62309.5	02:06	1	588	3411	6234	1	3411	587	6235	56448_61936	61349_62683	61936_224994	62683_225389	2	1	10.1	1	0	1	1	1	1	1	60604	                      graph_bin_annot3(7,55000,63000,c(1,2))	NA	NCO
59	WT10	1500	SK1-MLH3	10	7	759633	765663	766068	767344	762648	766706	02:06	1	406	4058	7710	1	4058	405	7711	759633_766068	765663_767344	766068_777976	767344_778066	2	1	10.1	1	0	1	1	1	1	1	764677	                      graph_bin_annot3(7,758000,768000,c(5,6))	NA	NCO
63	WT10	1500	SK1-MLH3	10	7	1010866	1010934	1011025	1011163	1010900	1011094	(6:2)_(4:4aCO)	2_nonsis	92	194	296	2	194	91	297	1010866_1011025	1010934_1011163	1011025_1015863	1011163_1016165	2	1	15	1	1	0	1	2	1	0	1010997	                      graph_bin_annot3(7,1009000,1012000,c(1,2,3,4))	NA	CO
61	WT10	1500	SK1-MLH3	10	7	900146	900753	900753	902040	900449.5	901396.5	(6:2)_(4:4aCO)	2_nonsis	1	947	1893	2	947	0	1894	900146_900753	900753_902040	900753_949816	902040_951500	1	1	15	1	1	0	1	2	1	0	900923	                      graph_bin_annot3(7,899000,903000,c(3,4,7,8))	NA	CO
55	WT10	1500	SK1-MLH3	10	7	357335	357841	358861	360441	357588	359651	(6:2)_(4:4aCO)	2_nonsis	1021	2063	3105	2	2063	1020	3106	357335_358861	357841_360441	358861_448116	360441_449525	4	1	15	1	1	0	1	2	1	0	358620	                      graph_bin_annot3(7,356000,361000,c(3,4,7,8))	NA	CO
64	WT10	1500	SK1-MLH3	10	7	1015863	1016165	1016792	1017723	1016013.75	1017257.75	(2:6)_(4:4aCO)	2_nonsis	628	1244	1859	2	1244	627	1860	1015863_1016792	1016165_1017723	1016792_1062839	1017723_1063387	7	1	16	1	1	0	1	2	1	0	1016636	                      graph_bin_annot3(7,1014000,1018000,c(3,4,5,6))	NA	CO
56	WT10	1500	SK1-MLH3	10	7	448116	449525	452796	454799	448820.5	453797.5	(2:6)_(4:4aCO)	2_nonsis	3272	4977	6682	2	4977	3271	6683	448116_452796	449525_454799	452796_471171	454799_471870	21	1	16	1	1	0	1	2	1	0	451309	                      graph_bin_annot3(7,447000,455000,c(1,2,7,8))	NA	CO
58	WT10	1500	SK1-MLH3	10	7	582800	584683	582800	584683	583271	584212	(4:4aCO)	2_nonsis	0	941	1882	1	0	0	0	582800	584683	759633	765663	0	1	100	1	1	0	1	1	0	0	583742	                      graph_bin_annot3(7,581000,585000,c(3,4,5,6))	NA	CO
69	WT10	1500	SK1-MLH3	10	8	189505	189608	190064	190671	189556.5	190367.5	6:2_4:4_6:2	1	457	811	1165	3	260_228_324	                      0_0_0	519_456_647	189505_189608_190024_190064	189608_190024_190064_190671	189608_190024_190064_449957	190024_190064_190671_450131	3	1	7	1	0	1	1	1	1	1	189962	                      graph_bin_annot3(8,188000,191000,c(1,2))	NA	NCO
66	WT10	1500	SK1-MLH3	10	8	50351	53770	53905	54245	52060.75	54074.75	(6:2)_(4:4)_(4:4aCO)	2_nonsis	136	2014	3893	3	1777_238	                      0_0	3554_475	50351_53770_53905	53770_53905_54245	53770_53905_64748	53905_54245_65380	2	1	12	1	1	0	1	1	0	0	53068	                      graph_bin_annot3(8,49000,55000,c(3,4,5,6))	NA	CO
67	WT10	1500	SK1-MLH3	10	8	64748	65380	65566	66117	65063.75	65841.75	(6:2)_(4:4aCO)	2_nonsis	187	778	1368	2	778	186	1369	64748_65566	65380_66117	65566_142863	66117_143214	2	1	15	1	1	0	1	2	1	0	65453	                      graph_bin_annot3(8,63000,67000,c(1,2,7,8))	NA	CO
70	WT10	1500	SK1-MLH3	10	8	449957	450131	451172	452866	450044	452019	(6:2)_(4:4aCO)	2_nonsis	1042	1975	2908	2	1975	1041	2909	449957_451172	450131_452866	451172_509232	452866_510388	8	1	15	1	1	0	1	2	1	0	451032	                      graph_bin_annot3(8,448000,453000,c(3,4,7,8))	NA	CO
68	WT10	1500	SK1-MLH3	10	8	142863	143214	143214	143824	143038.75	143518.75	(2:6)_(4:4aCO)	2_nonsis	1	480	960	2	480	0	961	142863_143214	143214_143824	143214_189505	143824_189608	1	1	16	1	1	0	1	2	1	0	143279	                      graph_bin_annot3(8,141000,144000,c(5,6,7,8))	NA	CO
71	WT10	1500	SK1-MLH3	10	8	509232	510388	509232	510388	509521	510099	(4:4aCO)	2_nonsis	0	578	1155	1	0	0	0	509232	510388	526309	562643	0	1	100	1	1	0	1	1	0	0	509810	                      graph_bin_annot3(8,508000,511000,c(3,4,7,8))	NA	CO
223	WT10	1500	SK1-MLH3	10	8	12505	12613	12505	12613	12532	12586		1	0	54	107	0	0	NA	0	NA	NA	NA	NA	0	0	4	1	NA	NA	1	1	NA	NA	12559	                        graph_bin_annot3(8,11000,13000)	NA	NCO
76	WT10	1500	SK1-MLH3	10	9	379413	383251	386249	386511	381332	386380	2:6_4:4_2:6	1	2999	5048	7097	3	2752_942_1354	                      288_0_827	5216_1883_1882	379413_383539_384629_386249	383251_384629_385422_386511	383539_384629_386249_422341	384629_385422_386511_422694	14	1	8	1	0	1	1	1	1	1	383856	                      graph_bin_annot3(9,378000,387000,c(5,6))	NA	NCO
73	WT10	1500	SK1-MLH3	10	9	130876	131485	131983	132151	131180.75	132066.75	(4:4aCO)_(6:2)_(4:4a)	2_nonsis	499	886	1274	3	630_257	                      252_100	1007_414	130876_131737_131983	131485_131883_132151	131737_131983_138053	131883_132151_138253	10	1	12	1	1	0	1	1	0	0	131624	                      graph_bin_annot3(9,129000,133000,c(1,2,3,4))	NA	CO
74	WT10	1500	SK1-MLH3	10	9	138053	138253	138710	138723	138152.75	138716.75	(6:2)_(4:4aCO)	2_nonsis	458	564	669	2	564	457	670	138053_138710	138253_138723	138710_214643	138723_215257	10	1	15	1	1	0	1	2	1	0	138435	                      graph_bin_annot3(9,137000,139000,c(1,2,3,4))	NA	CO
77	WT10	1500	SK1-MLH3	10	9	422341	422694	424322	424438	422517.75	424379.75	(2:6)_(4:4aCO)	2_nonsis	1629	1862	2096	2	1862	1628	2097	422341_424322	422694_424438	424322_431755	424438_439888	8	1	16	1	1	0	1	2	1	0	423449	                      graph_bin_annot3(9,421000,425000,c(5,6,7,8))	NA	CO
72	WT10	1500	SK1-MLH3	10	9	51147	51323	51323	51375	51235	51349	(0:8)_(4:4)	2_sis	1	114	227	0	114	0	228	51147_51323	51323_51375	51323_130876	51375_131485	1	0	1	2	0	2	2	2	2	2	51292	                      graph_bin_annot3(9,50000,52000,c(1,2,5,6))	NA	NCO
75	WT10	1500	SK1-MLH3	10	9	214643	215257	216129	216326	214949.75	216227.75	(4:4aCO)_(6:2)_(4:4CO)	2_nonsis	873	1278	1682	0	544_733	                      0_397	1089_1069	214643_215257_216129	215257_215732_216326	215257_216129_379413	215732_216326_383251	4	0	3	2	0	2	2	2	2	2	215589	                      graph_bin_annot3(9,213000,217000,c(1,2,3,4))	NA	NCO
78	WT10	1500	SK1-MLH3	10	10	78633	78942	79647	79806	78787.5	79726.5	06:02	1	706	939	1172	1	939	705	1173	78633_79647	78942_79806	79647_144958	79806_146319	5	1	10	1	0	1	1	1	1	1	79257	                      graph_bin_annot3(10,77000,80000,c(5,6))	NA	NCO
82	WT10	1500	SK1-MLH3	10	10	387545	390317	390317	390894	388931.25	390605.25	06:02	1	1	1674	3348	1	1674	0	3349	387545_390317	390317_390894	390317_410528	390894_410951	1	1	10	1	0	1	1	1	1	1	389768	                      graph_bin_annot3(10,386000,391000,c(5,6))	NA	NCO
85	WT10	1500	SK1-MLH3	10	10	723297	723691	723930	724397	723493.75	724163.75	02:06	1	240	670	1099	1	670	239	1100	723297_723930	723691_724397	723930_725020	724397_727023	2	1	10.1	1	0	1	1	1	1	1	723829	                      graph_bin_annot3(10,722000,725000,c(7,8))	NA	NCO
84	WT10	1500	SK1-MLH3	10	10	453005	453420	453420	456110	453212.75	454764.75	(6:2)_(4:4aCO)	2_nonsis	1	1552	3104	2	1552	0	3105	453005_453420	453420_456110	453420_723297	456110_723691	1	1	15	1	1	0	1	2	1	0	453989	                      graph_bin_annot3(10,452000,457000,c(1,2,7,8))	NA	CO
83	WT10	1500	SK1-MLH3	10	10	410528	410951	411834	412419	410739.5	412126.5	(2:6)_(4:4aCO)	2_nonsis	884	1387	1890	2	1387	883	1891	410528_411834	410951_412419	411834_453005	412419_453420	5	1	16	1	1	0	1	2	1	0	411433	                      graph_bin_annot3(10,409000,413000,c(5,6,7,8))	NA	CO
