id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	CO_NCO	chromatids	len_min	len_mid	len_max	nb_seg	seg_len	seg_start	seg_stop	nb_snp	midpoint
23	clb2mms4_1	1500	mms4	5	3	102819	103499	106362	106731	103158.75	106546.75	02:06	NCO	1	2864	3388	3911	1	3388	                      103499_106731	106362_136157	15	104853
99	clb2mms4_1	1500	mms4	5	10	170075	170552	172656	175026	170313.25	173841.25	02:06	NCO	1	2105	3528	4950	1	3528	                      170552_175026	172656_175551	11	172077
61	clb2mms4_1	1500	mms4	5	7	88723	89461	92394	92872	89092	92633	02:06	NCO	1	2934	3541	4148	1	3541	                      89461_92872	92394_221036	10	90863
42	clb2mms4_1	1500	mms4	5	4	1286759	1286942	1290301	1290715	1286850.25	1290508.25	02:06	NCO	1	3360	3658	3955	1	3658	                      1286942_1290715	1290301_1379881	14	1288679
66	clb2mms4_1	1500	mms4	5	7	425452	427606	429816	430564	426529	430190	02:06	NCO	1	2211	3661	5111	1	3661	                      427606_430564	429816_449530	6	428360
69	clb2mms4_1	1500	mms4	5	7	470534	471176	475079	475393	470855	475236	02:06	NCO	1	3904	4381	4858	1	4381	                      471176_475393	475079_561760	22	473046
60	clb2mms4_1	1500	mms4	5	7	33441	33894	35543	41268	33667.5	38405.5	02:06	NCO	1	1650	4738	7826	1	4738	                      33894_41268	35543_88723	5	36037
31	clb2mms4_1	1500	mms4	5	4	298579	298871	303051	304248	298724.75	303649.75	02:06	NCO	1	4181	4925	5668	1	4925	                      298871_304248	303051_363624	23	301187
166	clb2mms4_1	1500	mms4	5	14	236811	237839	242112	243195	237324.75	242653.75	02:06	NCO	1	4274	5329	6383	1	5329	                      237839_243195	242112_262514	5	239989
6	clb2mms4_1	1500	mms4	5	1	192545	192936	194772	194797	192740.5	194784.5	2:6_6:2	NCO	2_nonsis	1837	2044	2251	2	763.0_1282.0	                      192936_193554_194797	193452_194772_204211	18	193763
5	clb2mms4_1	1500	mms4	5	1	176381	176429	178825	178987	176405	178906	2:6_6:2	NCO	2_nonsis	2397	2501	2605	2	642.0_1860.0	                      176429_177664_178987	176429_178825_192545	13	177656
125	clb2mms4_1	1500	mms4	5	12	108687	109072	122352	122929	108879.5	122640.5	6:2_4:4_2:6_4:4_2:6_4:4_6:2_4:4_6:2	NCO	2_nonsis	13281	13761	14241	9	319.0_101.0_82.0_85.0_4524.0_439.0_6470.0_450.0_1293.0	                      109072_109243_109356_109399_109507_114078_114528_121205_121491_122929	109154_109243_109364_109426_113902_114329_120591_121205_122352_176347	102	115760
16	clb2mms4_1	1500	mms4	5	2	624621	625089	626087	626384	624854.75	626235.75	(2:6)_(4:4)_(4:4aCO)	CO	2_nonsis	999	1381	1762	3	960.0_421.0	                      625089_626087_626384	625543_626087_735227	8	625545
52	clb2mms4_1	1500	mms4	5	5	407953	408418	409506	410289	408185.5	409897.5	(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	1089	1712	2335	3	607.0_1106.0	                      408418_409166_410289	408418_409506_423229	3	409042
173	clb2mms4_1	1500	mms4	5	15	268940	269746	270090	271366	269343	270728	(6:2)_(4:4aCO)_(6:2)_(4:4a)	CO	2_nonsis	345	1385	2425	4	491.0_163.0_732.0	                      269746_269922_270071_271366	269746_269922_270090_328792	4	270036
78	clb2mms4_1	1500	mms4	5	7	1010461	1010796	1012787	1012982	1010628.5	1012884.5	(2:6)_(4:4)_(2:6)_(4:4aCO)	CO	2_nonsis	1992	2256	2520	4	1981.0_119.0_157.0	                      1010796_1012669_1012787_1012982	1012550_1012669_1012787_1014262	23	1011757
136	clb2mms4_1	1500	mms4	5	12	783055	783530	785350	786201	783292.5	785775.5	(6:2)_(4:4)_(6:2)_(4:4aCO)	CO	2_nonsis	1821	2483	3145	4	582.0_775.0_1127.0	                      783530_784218_784820_786201	783530_784477_785350_789116	7	784534
192	clb2mms4_1	1500	mms4	5	16	334745	335000	337436	337510	334872.25	337473.25	(2:6)_(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	2437	2601	2764	4	2095.0_141.0_365.0	                      335000_337071_337145_337510	336864_337071_337436_350770	20	336173
44	clb2mms4_1	1500	mms4	5	4	1474134	1474387	1477109	1477167	1474260.25	1477138.25	(6:2)_(4:4)_(6:2)_(4:4aCO)	CO	2_nonsis	2723	2878	3032	4	138.0_72.0_2668.0	                      1474387_1474409_1474474_1477167	1474387_1474466_1477109_1479530	16	1475699
3	clb2mms4_1	1500	mms4	5	1	82245	82324	86085	86598	82284.5	86341.5	(2:6)_(4:4)_(2:6)_(4:4aCO)	CO	2_nonsis	3762	4057	4352	4	270.0_922.0_2866.0	                      82324_82663_83614_86598	82445_83338_86085_128757	26	84313
104	clb2mms4_1	1500	mms4	5	10	346852	347285	351725	352046	347068.5	351885.5	(2:6)_(4:4)_(2:6)_(4:4aCO)	CO	2_nonsis	4441	4817	5193	4	3073.0_389.0_1356.0	                      347285_350345_350645_352046	349937_350414_351725_395226	28	349477
161	clb2mms4_1	1500	mms4	5	14	45633	46129	51049	51265	45881	51157	(2:6)_(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	4921	5276	5631	4	4484.0_618.0_174.0	                      46129_50443_51040_51265	50287_50926_51049_53632	42	48519
153	clb2mms4_1	1500	mms4	5	13	509886	510372	515648	516108	510129	515878	(2:6)_(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	5277	5749	6221	4	5143.0_78.0_529.0	                      510372_515324_515374_516108	515219_515324_515648_546318	66	513004
129	clb2mms4_1	1500	mms4	5	12	511073	511199	517116	517340	511136	517228	(6:2)_(4:4)_(6:2)_(4:4aCO)	CO	2_nonsis	5918	6092	6266	4	141.0_148.0_5804.0	                      511199_511355_511494_517340	511199_511355_517116_540221	23	514182
36	clb2mms4_1	1500	mms4	5	4	831875	832052	838340	838647	831963.5	838493.5	(2:6)_(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	6289	6530	6771	4	5830.0_435.0_265.0	                      832052_837951_838340_838647	837636_838117_838340_907263	34	835229
62	clb2mms4_1	1500	mms4	5	7	221036	221071	226686	230212	221053.25	228449.25	(2:6)_(4:4aCO)_(2:6)_(4:4a)	CO	2_nonsis	5616	7396	9175	4	3234.0_867.0_3295.0	                      221071_224472_225394_230212	224103_224914_226686_288479	46	224751
121	clb2mms4_1	1500	mms4	5	11	625505	627178	635073	636287	626341.25	635680.25	(6:2)_(4:4)_(6:2)_(4:4aCO)	CO	2_nonsis	7896	9339	10781	4	6367.0_1020.0_1952.0	                      627178_632910_633788_636287	632507_633669_635073_664906	35	631011
144	clb2mms4_1	1500	mms4	5	13	91910	91963	102104	102269	91936.5	102186.5	(2:6)_(4:4)_(2:6)_(4:4aCO)	CO	2_nonsis	10142	10250	10358	4	9389.0_34.0_828.0	                      91963_101353_101365_102269	101298_101353_102104_177237	43	97062
140	clb2mms4_1	1500	mms4	5	12	879247	879756	881897	882523	879501.25	882210.25	(2:6)_(4:4)_(2:6)_(4:4)_(4:4aCO)	CO	2_nonsis	2142	2709	3275	5	1911.0_210.0_124.0_465.0	                      879756_881541_881702_881789_882523	881283_881541_881702_881897_1010682	13	880856
58	clb2mms4_1	1500	mms4	5	6	107095	107425	107426	107780	107260	107603	(6:2)_(4:4aCO)	CO	2_nonsis	2	343	684	2	343	                      107425_107780	107426_208656	2	107432
50	clb2mms4_1	1500	mms4	5	5	332268	332456	332535	333030	332361.75	332782.75	(6:2)_(4:4aCO)	CO	2_nonsis	80	421	761	2	421	                      332456_333030	332535_334783	4	332572
150	clb2mms4_1	1500	mms4	5	13	392571	392664	392664	393432	392617.25	393048.25	(6:2)_(4:4aCO)	CO	2_nonsis	1	431	860	2	431	                      392664_393432	392664_433473	1	392833
111	clb2mms4_1	1500	mms4	5	11	92446	92505	93046	93307	92475.5	93176.5	(6:2)_(4:4aCO)	CO	2_nonsis	542	701	860	2	701	                      92505_93307	93046_96557	6	92826
34	clb2mms4_1	1500	mms4	5	4	703848	703903	703903	706030	703875.5	704966.5	(6:2)_(4:4aCO)	CO	2_nonsis	1	1091	2181	2	1091	                      703903_706030	703903_730702	1	704421
171	clb2mms4_1	1500	mms4	5	15	27007	27019	27019	29591	27013	28305	(6:2)_(4:4aCO)	CO	2_nonsis	1	1292	2583	2	1292	                      27019_29591	27019_128788	1	27659
155	clb2mms4_1	1500	mms4	5	13	618248	618661	619659	620141	618454.25	619900.25	(6:2)_(4:4aCO)	CO	2_nonsis	999	1446	1892	2	1446	                      618661_620141	619659_689684	6	619177
59	clb2mms4_1	1500	mms4	5	6	208656	210955	210955	211640	209805.5	211297.5	(6:2)_(4:4aCO)	CO	2_nonsis	1	1492	2983	2	1492	                      210955_211640	210955_267055	1	210552
182	clb2mms4_1	1500	mms4	5	15	966322	968183	968967	968988	967252.5	968977.5	(6:2)_(4:4aCO)	CO	2_nonsis	785	1725	2665	2	1725	                      968183_968988	968967_1004866	12	968115
126	clb2mms4_1	1500	mms4	5	12	176347	177777	177777	179901	177062	178839	(6:2)_(4:4aCO)	CO	2_nonsis	1	1777	3553	2	1777	                      177777_179901	177777_318598	1	177951
15	clb2mms4_1	1500	mms4	5	2	513771	513988	515310	516338	513879.25	515824.25	(6:2)_(4:4aCO)	CO	2_nonsis	1323	1945	2566	2	1945	                      513988_516338	515310_624621	5	514852
92	clb2mms4_1	1500	mms4	5	9	147408	147541	149533	149758	147474.5	149645.5	(6:2)_(4:4aCO)	CO	2_nonsis	1993	2171	2349	2	2171	                      147541_149758	149533_158405	5	148560
152	clb2mms4_1	1500	mms4	5	13	501142	501910	503720	504173	501525.75	503946.75	(6:2)_(4:4aCO)	CO	2_nonsis	1811	2421	3030	2	2421	                      501910_504173	503720_509886	20	502736
25	clb2mms4_1	1500	mms4	5	3	210631	210960	212093	214657	210795.25	213375.25	(6:2)_(4:4aCO)	CO	2_nonsis	1134	2580	4025	2	2580	                      210960_214657	212093_221328	6	212085
93	clb2mms4_1	1500	mms4	5	9	158405	158909	160761	161735	158657	161248	(6:2)_(4:4aCO)	CO	2_nonsis	1853	2591	3329	2	2591	                      158909_161735	160761_190523	7	159953
105	clb2mms4_1	1500	mms4	5	10	395226	395301	397826	397967	395263.5	397896.5	(6:2)_(4:4aCO)	CO	2_nonsis	2526	2633	2740	2	2633	                      395301_397967	397826_439643	23	396580
65	clb2mms4_1	1500	mms4	5	7	376504	378015	379746	380371	377259.5	380058.5	(6:2)_(4:4aCO)	CO	2_nonsis	1732	2799	3866	2	2799	                      378015_380371	379746_425452	3	378659
170	clb2mms4_1	1500	mms4	5	14	682651	686683	686788	688150	684667	687469	(6:2)_(4:4aCO)	CO	2_nonsis	106	2802	5498	2	2802	                      686683_688150	686788_780902	2	686068
82	clb2mms4_1	1500	mms4	5	8	187520	187901	191341	191636	187710.5	191488.5	(6:2)_(4:4aCO)	CO	2_nonsis	3441	3778	4115	2	3778	                      187901_191636	191341_279199	19	189600
91	clb2mms4_1	1500	mms4	5	9	84138	85292	88448	88786	84715	88617	(6:2)_(4:4aCO)	CO	2_nonsis	3157	3902	4647	2	3902	                      85292_88786	88448_147408	11	86666
131	clb2mms4_1	1500	mms4	5	12	609574	609901	614405	614606	609737.5	614505.5	(6:2)_(4:4aCO)	CO	2_nonsis	4505	4768	5031	2	4768	                      609901_614606	614405_620933	49	612122
68	clb2mms4_1	1500	mms4	5	7	455018	455630	460482	461135	455323.75	460808.75	(6:2)_(4:4aCO)	CO	2_nonsis	4853	5485	6116	2	5485	                      455630_461135	460482_470534	31	458066
74	clb2mms4_1	1500	mms4	5	7	724571	729379	730609	734673	726975	732641	(6:2)_(4:4aCO)	CO	2_nonsis	1231	5666	10101	2	5666	                      729379_734673	730609_796521	2	729808
107	clb2mms4_1	1500	mms4	5	10	575085	575185	580954	581135	575134.75	581044.75	(6:2)_(4:4aCO)	CO	2_nonsis	5770	5910	6049	2	5910	                      575185_581135	580954_595986	18	578090
198	clb2mms4_1	1500	mms4	5	16	607350	618450	618582	619795	612899.75	619188.75	(6:2)_(4:4aCO)	CO	2_nonsis	133	6289	12444	2	6289	                      618450_619795	618582_620417	2	616044
97	clb2mms4_1	1500	mms4	5	9	379410	383248	387322	388178	381329	387750	(6:2)_(4:4aCO)	CO	2_nonsis	4075	6421	8767	2	6421	                      383248_388178	387322_431751	27	384540
14	clb2mms4_1	1500	mms4	5	2	351333	354750	362080	362352	353041.25	362216.25	(6:2)_(4:4aCO)	CO	2_nonsis	7331	9175	11018	2	9175	                      354750_362352	362080_513771	20	357629
167	clb2mms4_1	1500	mms4	5	14	262514	263336	263355	293082	262924.75	278218.75	(6:2)_(4:4aCO)	CO	2_nonsis	20	15294	30567	2	15294	                      263336_293082	263355_423925	2	270572
179	clb2mms4_1	1500	mms4	5	15	678101	678493	678626	678937	678296.75	678781.75	(2:6)_(4:4aCO)	CO	2_nonsis	134	485	835	2	485	                      678493_678937	678626_764847	3	678539
115	clb2mms4_1	1500	mms4	5	11	263913	264460	264700	264853	264186.5	264776.5	(2:6)_(4:4aCO)	CO	2_nonsis	241	590	939	2	590	                      264460_264853	264700_351990	3	264482
40	clb2mms4_1	1500	mms4	5	4	1066161	1066879	1066879	1067781	1066520	1067330	(2:6)_(4:4aCO)	CO	2_nonsis	1	810	1619	2	810	                      1066879_1067781	1066879_1111981	1	1066925
90	clb2mms4_1	1500	mms4	5	9	74754	74922	74967	76900	74837.75	75933.75	(2:6)_(4:4aCO)	CO	2_nonsis	46	1096	2145	2	1096	                      74922_76900	74967_84138	2	75386
24	clb2mms4_1	1500	mms4	5	3	136157	137652	137652	138502	136904.25	138077.25	(2:6)_(4:4aCO)	CO	2_nonsis	1	1173	2344	2	1173	                      137652_138502	137652_210631	1	137491
116	clb2mms4_1	1500	mms4	5	11	351990	352921	353063	354608	352455.5	353835.5	(2:6)_(4:4aCO)	CO	2_nonsis	143	1380	2617	2	1380	                      352921_354608	353063_396424	3	353146
26	clb2mms4_1	1500	mms4	5	3	221328	222520	223335	223672	221923.75	223503.75	(2:6)_(4:4aCO)	CO	2_nonsis	816	1580	2343	2	1580	                      222520_223672	223335_260197	3	222714
77	clb2mms4_1	1500	mms4	5	7	949017	949075	949819	951503	949046	950661	(2:6)_(4:4aCO)	CO	2_nonsis	745	1615	2485	2	1615	                      949075_951503	949819_1010461	3	949854
53	clb2mms4_1	1500	mms4	5	5	423229	423823	424998	425330	423526	425164	(2:6)_(4:4aCO)	CO	2_nonsis	1176	1638	2100	2	1638	                      423823_425330	424998_435882	4	424345
37	clb2mms4_1	1500	mms4	5	4	907263	909444	909444	910685	908353.5	910064.5	(2:6)_(4:4aCO)	CO	2_nonsis	1	1711	3421	2	1711	                      909444_910685	909444_930523	1	909209
127	clb2mms4_1	1500	mms4	5	12	318598	319561	320957	321039	319079.25	320998.25	(2:6)_(4:4aCO)	CO	2_nonsis	1397	1919	2440	2	1919	                      319561_321039	320957_393415	4	320039
13	clb2mms4_1	1500	mms4	5	2	304472	306242	306242	308890	305357	307566	(2:6)_(4:4aCO)	CO	2_nonsis	1	2209	4417	2	2209	                      306242_308890	306242_351333	1	306462
186	clb2mms4_1	1500	mms4	5	16	114437	115128	116889	117168	114782.5	117028.5	(2:6)_(4:4aCO)	CO	2_nonsis	1762	2246	2730	2	2246	                      115128_117168	116889_168265	10	115906
8	clb2mms4_1	1500	mms4	5	2	125025	125555	127169	127967	125290	127568	(2:6)_(4:4aCO)	CO	2_nonsis	1615	2278	2941	2	2278	                      125555_127967	127169_132978	7	126429
199	clb2mms4_1	1500	mms4	5	16	620417	623821	624235	624736	622118.75	624485.75	(2:6)_(4:4aCO)	CO	2_nonsis	415	2367	4318	2	2367	                      623821_624736	624235_693144	2	623302
64	clb2mms4_1	1500	mms4	5	7	291928	292682	294465	295608	292304.75	295036.75	(2:6)_(4:4aCO)	CO	2_nonsis	1784	2732	3679	2	2732	                      292682_295608	294465_376504	7	293671
32	clb2mms4_1	1500	mms4	5	4	363624	364908	366675	367442	364265.75	367058.75	(2:6)_(4:4aCO)	CO	2_nonsis	1768	2793	3817	2	2793	                      364908_367442	366675_538181	5	365662
135	clb2mms4_1	1500	mms4	5	12	676887	676927	679809	680007	676907	679908	(2:6)_(4:4aCO)	CO	2_nonsis	2883	3001	3119	2	3001	                      676927_680007	679809_783055	25	678408
2	clb2mms4_1	1500	mms4	5	1	71617	72953	75278	75913	72284.75	75595.75	(2:6)_(4:4aCO)	CO	2_nonsis	2326	3311	4295	2	3311	                      72953_75913	75278_82245	23	73940
