id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	commande	Notes	B_type	CO_NCO
10	TMZ1	1500	TMZ	1	2	36302	36362	36389	36690	36331.75	36539.75	03:05	1	28	208	387	1	208	27	388	36302_36389	36362_36690	36389_37628	36690_39234	100.19	32	3.11	3	3	3	1	2	1	0	1	1	1	1	1	36389	                      graph_bin_annot3(2,35000,37000,c(3,4))		One-Sided	NCO
11	TMZ1	1500	TMZ	1	2	37628	39234	39435	39607	38431	39521	(3:5)_(4:4aCO)	2_nonsis	202	1090	1978	2	1090	201	1979	37628_39435	39234_39607	39435_62445	39607_62830	43.43	165	0.26	3	3	346	1	2	1	1	0	1	1	0	0	39435	                      graph_bin_annot3(2,36000,40000,c(3,4,5,6))		One-Sided Unidirectional	CO
12	TMZ1	1500	TMZ	1	2	62445	62830	63891	64139	62637.25	64015.25	6:2_5:3_4:4_5:3	1	1062	1378	1693	4	926_281_30_141	                      465_0_0_0	1386_562_60_282	62445_63295_63831_63857_63891	62830_63831_63857_63891_64139	63295_63831_63857_63891_124298	63831_63857_63891_64139_124505	428.39	141	3.04	11	8_1_1_1	34_3_4_4	1	7	1	0	1	1	1	1	1	63891	                      graph_bin_annot3(2,61000,65000,c(3,4))		Full Conversion	NCO
13	TMZ1	1500	TMZ	1	2	124298	124505	124959	125762	124401.5	125360.5	05:03	1	455	959	1463	1	959	454	1464	124298_124959	124505_125762	124959_131783	125762_132333	455.54	122	3.74	5	5	2	1	1	1	0	1	1	1	1	1	124959	                      graph_bin_annot3(2,123000,126000,c(1,2))		One-Sided	NCO
14	TMZ1	1500	TMZ	1	2	131783	132333	132333	132460	132058.25	132396.25	05:03	1	1	338	676	1	338	0	677	131783_132333	132333_132460	132333_192399	132460_192441	226.04	56	4.02	1	1	2	1	1	1	0	1	1	1	1	1	132333	                      graph_bin_annot3(2,130000,133000,c(1,2))		One-Sided	NCO
15	TMZ1	1500	TMZ	1	2	192399	192441	193122	193664	192420	193393	05:03	1	682	973	1264	1	973	681	1265	192399_193122	192441_193664	193122_195735	193664_195960	659.37	105	6.26	3	3	2	1	1	1	0	1	1	1	1	1	193122	                      graph_bin_annot3(2,191000,194000,c(1,2))		One-Sided	NCO
16	TMZ1	1500	TMZ	1	2	195735	195960	195960	196145	195847.5	196052.5	05:03	1	1	205	409	1	205	0	410	195735_195960	195960_196145	195960_240048	196145_242023	222.59	34	6.54	1	1	4	1	1	1	0	1	1	1	1	1	195960	                      graph_bin_annot3(2,194000,197000,c(3,4))		One-Sided	NCO
17	TMZ1	1500	TMZ	1	2	240048	242023	242434	242773	241035.5	242603.5	03:05	1	412	1568	2724	1	1568	411	2725	240048_242434	242023_242773	242434_269210	242773_269402	368.67	227	1.63	2	2	5	1	2	1	0	1	1	1	1	1	242434	                      graph_bin_annot3(2,239000,243000,c(5,6))		One-Sided	NCO
18	TMZ1	1500	TMZ	1	2	269210	269402	270207	270387	269306	270297	03:05	1	806	991	1176	1	991	805	1177	269210_270207	269402_270387	270207_287818	270387_287997	193.47	98	1.98	8	8	5	1	2	1	0	1	1	1	1	1	270207	                      graph_bin_annot3(2,268000,271000,c(5,6))		One-Sided	NCO
19	TMZ1	1500	TMZ	1	2	287818	287997	288990	289364	287907.25	289177.25	5:3_4:4_6:2_5:3	1	994	1270	1545	4	584_94_126_466	                      487_0_33_273	680_187_219_660	287818_288484_288498_288704_288990	287997_288498_288671_288717_289364	288484_288498_288704_288990_297602	288498_288671_288717_289364_297966	860.24	129	6.69	23	8_1_2_12	2_2_12_1	1	3	1	0	1	1	1	1	1	288990	                      graph_bin_annot3(2,286000,290000,c(1,2))		One-Sided + patch	NCO
20	TMZ1	1500	TMZ	1	2	297602	297966	298189	298678	297783.75	298433.75	05:03	1	224	650	1075	1	650	223	1076	297602_298189	297966_298678	298189_305677	298678_305801	365.71	90	4.09	4	4	2	1	1	1	0	1	1	1	1	1	298189	                      graph_bin_annot3(2,296000,299000,c(1,2))		One-Sided	NCO
21	TMZ1	1500	TMZ	1	2	305677	305801	307459	307594	305738.75	307526.75	5:3_4:4_5:3	1	1659	1788	1916	3	1267_148_373	                      1179_0_184	1355_295_562	305677_306980_307032_307459	305801_307032_307275_307594	306980_307032_307459_418450	307032_307275_307594_418484	314.88	160	1.97	10	7_1_2	2_2_2	1	3	1	0	1	1	1	1	1	307459	                      graph_bin_annot3(2,304000,308000,c(1,2))		One-Sided + patch	NCO
22	TMZ1	1500	TMZ	1	2	418450	418484	420137	420372	418466.75	420254.75	3:5_2:6_3:5_2:6_3:5	1	1654	1788	1921	5	71_328_866_272_251	                      0_0_465_72_61	142_655_1267_472_441	418450_418484_418592_419604_419931_420137	418484_418592_419139_419859_420076_420372	418484_418592_419604_419931_420137_499070	418592_419139_419859_420076_420372_499985	220.12	160	1.38	12	1_1_4_3_3	5_6_6_6_6	1	4	1	0	1	1	1	1	1	420137	                      graph_bin_annot3(2,417000,421000,c(5,6))		One-Sided + patch	NCO
23	TMZ1	1500	TMZ	1	2	499070	499985	502305	502581	499527.25	502443.25	3:5_4:4_3:5	1	2321	2916	3510	3	1292_1006_618	                      810_910_408	1773_1102_828	499070_500795_501753_502305	499985_500843_501897_502581	500795_501753_502305_525492	500843_501897_502581_526512	1672.12	292	5.72	14	3_9_2	7_7_7	1	4	1	0	1	1	1	1	1	502305	                      graph_bin_annot3(2,498000,503000,c(7,8))		One-Sided + patch	NCO
24	TMZ1	1500	TMZ	1	2	525492	526512	526524	526840	526002	526682	06:02	1	13	680	1347	1	680	12	1348	525492_526524	526512_526840	526524_547149	526840_547353	6.42	112	0.06	2	2	34	1	10	1	0	1	1	1	1	1	526524	                      graph_bin_annot3(2,524000,527000,c(3,4))		Full Conversion	NCO
25	TMZ1	1500	TMZ	1	2	547149	547353	547559	548176	547251.25	547867.25	03:05	1	207	616	1026	1	616	206	1027	547149_547559	547353_548176	547559_648386	548176_649183	26.16	85	0.31	11	11	5	1	2	1	0	1	1	1	1	1	547559	                      graph_bin_annot3(2,546000,549000,c(5,6))		One-Sided	NCO
26	TMZ1	1500	TMZ	1	2	648386	649183	649588	649927	648784.5	649757.5	5:3_4:4_5:3	1	406	973	1540	3	438_196_338	                      13_0_0	864_392_677	648386_649196_649250_649588	649183_649250_649588_649927	649196_649250_649588_661374	649250_649588_649927_662094	4.94	128	0.04	4	2_1_1	4_4_4	1	3	1	0	1	1	1	1	1	649588	                      graph_bin_annot3(2,647000,650000,c(3,4))		One-Sided + patch	NCO
27	TMZ1	1500	TMZ	1	2	661374	662094	662272	666708	661734	664490	03:05	1	179	2756	5333	1	2756	178	5334	661374_662272	662094_666708	662272_735582	666708_735807	1862.13	444	4.19	2	2	7	1	2	1	0	1	1	1	1	1	662272	                      graph_bin_annot3(2,660000,667000,c(7,8))		One-Sided	NCO
28	TMZ1	1500	TMZ	1	2	735582	735807	740429	740518	735694.5	740473.5	(5:3)_(4:4)_(5:3)_(3:5)_(2:6)_(3:5a)_(4:4ai)_(3:5a)_(2:6)_(3:5)_(4:4bCO)	3	4623	4779	4935	0	273_254_374_1519_436_364_386_795_172_206	                      0_0_0_1139_0_0_96_463_21_79	546_507_748_1899_871_728_677_1127_324_333	735582_735807_736128_736314_738015_738213_738886_739037_740026_740185_740429	735807_736128_736314_736876_738213_738886_738941_739563_740164_740350_740518	735807_736128_736314_738015_738213_738886_739037_740026_740185_740429_796295	736128_736314_736876_738213_738886_738941_739563_740164_740350_740518_796710	1135.64	411	2.76	28	1_1_1_7_1_1_4_6_3_3	4_4_4_2478_2_8_2_2_8_2	0	2	2	1	1	2	2	1	1	740429	                      graph_bin_annot3(2,734000,741000,c(1,2,3,4,7,8))		>2 Chr CO	CO
29	TMZ1	1500	TMZ	1	2	796295	796710	796710	796789	796502.5	796749.5	05:03	1	1	247	493	1	247	0	494	796295_796710	796710_796789	796710_801020	796789_813184	4.94	41	0.12	1	1	4	1	1	1	0	1	1	1	1	1	796710	                      graph_bin_annot3(2,795000,797000,c(3,4))		One-Sided	NCO
30	TMZ1	1500	TMZ	1	3	74577	75202	79797	82451	74889.75	81123.75	3:5_4:4_3:5_2:6_3:5	1	4596	6234	7873	5	626_728_3184_183_1515	                      282_0_2453_0_39	969_1455_3914_366_2991	74577_75484_75546_79392_79460_79797	75202_75546_76939_79460_79758_82451	75484_75546_79392_79460_79797_82451	75546_76939_79460_79758_82451_83502	347.95	656	0.53	20	2_1_14_1_2	1_1_1_2_2	1	4	1	0	1	1	1	1	1	79797	                      graph_bin_annot3(3,73000,83000,c(1,2))		One-Sided + patch	NCO
31	TMZ1	1500	TMZ	1	3	82451	83502	83816	91287	82976.5	87551.5	02:06	1	315	4575	8835	1	4575	314	8836	82451_83816	83502_91287	83816_109851	91287_110810	808.91	736	1.1	3	3	12	1	10.1	1	0	1	1	1	1	1	83816	                      graph_bin_annot3(3,81000,92000,c(1,2))		Full Conversion	NCO
32	TMZ1	1500	TMZ	1	3	109851	110810	113643	113781	110330.25	113712.25	(3:5)_(3:5a)_(4:4aCO)_(3:5a)_(4:4a)	2_nonsis	2834	3382	3929	5	1698_908_166_610	                      885_545_22_426	2511_1271_310_793	109851_111695_112907_112988_113643	110810_112362_112966_113217_113781	111695_112907_112988_113643_152773	112362_112966_113217_113781_152950	57.25	327	0.18	24	7_7_2_8	1_26_5_5	2	31	1	1	0	1	1	0	0	113643	                      graph_bin_annot3(3,108000,114000,c(1,2,5,6))		Two-Sided Unidirectional	CO
33	TMZ1	1500	TMZ	1	3	152773	152950	154683	154902	152861.5	154792.5	3:5_2:6_3:5	1	1734	1931	2128	3	700_244_986	                      468_13_790	933_475_1183	152773_153418_153719_154683	152950_153706_153893_154902	153418_153719_154683_163699	153706_153893_154902_164093	119.44	177	0.67	12	4_2_6	5_6_6	1	4	1	0	1	1	1	1	1	154683	                      graph_bin_annot3(3,151000,155000,c(5,6))		One-Sided + patch	NCO
34	TMZ1	1500	TMZ	1	3	163699	164093	164277	165283	163896	164780	05:03	1	185	884	1583	1	884	184	1584	163699_164277	164093_165283	164277_204750	165283_207459	193.47	132	1.47	3	3	2	1	1	1	0	1	1	1	1	1	164277	                      graph_bin_annot3(3,162000,166000,c(1,2))		One-Sided	NCO
35	TMZ1	1500	TMZ	1	3	204750	207459	209464	209617	206104.5	209540.5	5:3_6:2_5:3	1	2006	3436	4866	3	1731_184_1522	                      246_0_1392	3216_367_1651	204750_207705_207966_209464	207459_207966_208072_209617	207705_207966_209464_224261	207966_208072_209617_224961	958.95	405	2.37	17	4_1_12	4_3_3	1	3	1	0	1	1	1	1	1	209464	                      graph_bin_annot3(3,203000,210000,c(3,4))		One-Sided + patch	NCO
36	TMZ1	1500	TMZ	1	3	224261	224961	226498	228130	224611	227314	(4:4aCO)_(4:4CO)_(5:3)_(4:4)	2_nonsis	1538	2703	3868	0	804_236_1662	                      239_0_825	1370_473_2499	224261_225200_225631_226498	224961_225631_225673_228130	225200_225631_226498_233678	225631_225673_228130_233870	2987.4	322	9.28	12	8_1_3	3456_3456_4	0	3	2	0	2	2	2	2	2	226498	                      graph_bin_annot3(3,223000,229000,c(3,4,5,6))	Not dCO, 2 NCOs	2-sis NCO	NCO
38	TMZ1	1500	TMZ	1	3	251657	251939	252633	253903	251798	253268	03:05	1	695	1470	2245	1	1470	694	2246	251657_252633	251939_253903	252633_303499	253903_316620	411.61	187	2.2	10	10	5	1	2	1	0	1	1	1	1	1	252633	                      graph_bin_annot3(3,250000,254000,c(5,6))		One-Sided	NCO
40	TMZ1	1500	TMZ	1	4	86606	87227	87353	87458	86916.5	87405.5	03:05	1	127	489	851	1	489	126	852	86606_87353	87227_87458	87353_106143	87458_106727	469.85	71	6.63	5	5	1	1	2	1	0	1	1	1	1	1	87353	                      graph_bin_annot3(4,85000,88000,c(1,2))		One-Sided	NCO
41	TMZ1	1500	TMZ	1	4	106143	106727	106899	107966	106434.75	107432.75	03:05	1	173	998	1822	1	998	172	1823	106143_106899	106727_107966	106899_154129	107966_155368	934.27	152	6.16	3	3	1	1	2	1	0	1	1	1	1	1	106899	                      graph_bin_annot3(4,105000,108000,c(1,2))		One-Sided	NCO
42	TMZ1	1500	TMZ	1	4	154129	155368	156591	157148	154748.5	156869.5	05:03	1	1224	2121	3018	1	2121	1223	3019	154129_156591	155368_157148	156591_196851	157148_198685	902.69	251	3.59	5	5	4	1	1	1	0	1	1	1	1	1	156591	                      graph_bin_annot3(4,153000,158000,c(3,4))		One-Sided	NCO
43	TMZ1	1500	TMZ	1	4	196851	198685	199393	200025	197768	199709	(2:6i)_(3:5)_(4:4ai)_(3:5)_(4:4bCO)	3	709	1941	3173	0	988_72_308_574	                      49_0_0_0	1927_144_615_1147	196851_198734_198778_198878_199393	198685_198778_198878_199393_200025	198734_198778_198878_199393_239002	198778_198878_199393_200025_239328	3216.4	264	12.17	5	2_1_1_1	1456_1_6_6	0	2	2	1	1	2	2	1	1	199393	                      graph_bin_annot3(4,195000,201000,c(1,2,3,4,5,6))		>2 Chr CO	CO
44	TMZ1	1500	TMZ	1	4	239002	239328	239907	239977	239165	239942	05:03	1	580	777	974	1	777	579	975	239002_239907	239328_239977	239907_263030	239977_263811	280.33	81	3.46	9	9	6	1	1	1	0	1	1	1	1	1	239907	                      graph_bin_annot3(4,238000,240000,c(5,6))		One-Sided	NCO
45	TMZ1	1500	TMZ	1	4	263030	263811	267874	268279	263420.5	268076.5	3:5_4:4_3:5_4:4_3:5_4:4_3:5	1	4064	4656	5248	7	2108_678_476_436_264_258_436	                      1641_507_186_0_0_0_0	2576_850_765_871_528_515_873	263030_265452_266113_266488_266878_267359_267406_267874	263811_265606_266302_266878_267359_267406_267874_268279	265452_266113_266488_266878_267359_267406_267874_271809	265606_266302_266878_267359_267406_267874_268279_272060	1077.4	437	2.47	25	8_10_3_1_1_1_1	1_1_1_1_1_1_1	1	4	1	0	1	1	1	1	1	267874	                      graph_bin_annot3(4,262000,269000,c(1,2))		One-Sided + patch	NCO
46	TMZ1	1500	TMZ	1	4	271809	272060	272298	272385	271934.5	272341.5	05:03	1	239	407	575	1	407	238	576	271809_272298	272060_272385	272298_359094	272385_359167	980.67	48	20.48	2	2	8	1	1	1	0	1	1	1	1	1	272298	                      graph_bin_annot3(4,270000,273000,c(7,8))		One-Sided	NCO
47	TMZ1	1500	TMZ	1	4	359094	359167	359293	359402	359130.5	359347.5	03:05	1	127	217	307	1	217	126	308	359094_359293	359167_359402	359293_413443	359402_413544	0	26	0	4	4	3	1	2	1	0	1	1	1	1	1	359293	                      graph_bin_annot3(4,358000,360000,c(3,4))		One-Sided	NCO
48	TMZ1	1500	TMZ	1	4	413443	413544	413595	413674	413493.5	413634.5	05:03	1	52	141	230	1	141	51	231	413443_413595	413544_413674	413595_483225	413674_483341	43.43	19	2.27	3	3	6	1	1	1	0	1	1	1	1	1	413595	                      graph_bin_annot3(4,412000,414000,c(5,6))		One-Sided	NCO
49	TMZ1	1500	TMZ	1	4	483225	483341	484184	484658	483283	484421	5:3_4:4_5:3_4:4_6:2_5:3	1	844	1138	1432	6	98_81_326_144_108_382	                      0_2_237_1_2_133	195_160_414_288_214_630	483225_483341_483422_483738_483837_484028_484184	483341_483420_483501_483836_484026_484051_484658	483341_483422_483738_483837_484028_484184_512393	483420_483501_483836_484026_484051_484658_512455	36.03	119	0.3	16	1_2_7_2_2_2	8_8_8_8_78_7	1	3	1	0	1	1	1	1	1	484184	                      graph_bin_annot3(4,482000,485000,c(7,8))		One-Sided + patch	NCO
50	TMZ1	1500	TMZ	1	4	512393	512455	512921	519856	512424.25	516388.25	2:6_3:5_4:4_3:5	1	467	3964	7462	4	42_14_22_3886	                      0_0_0_400	85_29_43_7372	512393_512455_512478_512484_512921	512455_512478_512484_512521_519856	512455_512478_512484_512921_538561	512478_512484_512521_519856_538829	66.63	621	0.11	19	1_1_1_16	34_4_3_3	1	8	1	0	1	1	1	1	1	512921	                      graph_bin_annot3(4,511000,520000,c(3,4))		Full Conversion	NCO
51	TMZ1	1500	TMZ	1	4	538561	538829	539680	540228	538695	539954	2:6_3:5	1	852	1259	1666	2	190_1069	                      49_788	331_1350	538561_538878_539680	538829_538892_540228	538878_539680_547646	538892_540228_547789	108.09	139	0.78	18	3_15	34_4	1	8	1	0	1	1	1	1	1	539680	                      graph_bin_annot3(4,537000,541000,c(3,4))		Full Conversion	NCO
53	TMZ1	1500	TMZ	1	4	583943	584012	592352	592527	583977.5	592439.5	(3:5)_(3:5a)_(4:4aCO)_(3:5a)_(2:6)_(3:5)_(3:5a)_(4:4a)_(5:3)_(4:4a)	2_nonsis	8341	8462	8583	10	787_428_280_4024_194_411_790_698_850	                      522_0_0_3902_0_30_557_231_302	1052_855_559_4147_389_792_1023_1165_1398	583943_584534_584995_585389_589456_589536_589875_590885_591129_592352	584012_584995_585389_585554_589536_589845_590328_590898_592050_592527	584534_584995_585389_589456_589536_589875_590885_591129_592352_629725	584995_585389_585554_589536_589845_590328_590898_592050_592527_630640	823.72	715	1.15	31	5_1_1_13_1_2_2_2_4	1_28_7_7_8_2_28_7_2	3	20	1	1	0	2	2	1	1	592352	                      graph_bin_annot3(4,582000,593000,c(1,2,7,8))		Two-Sided Bidirectional	CO
54	TMZ1	1500	TMZ	1	4	629725	630640	630640	631576	630182.25	631108.25	05:03	1	1	926	1850	1	926	0	1851	629725_630640	630640_631576	630640_681895	631576_681918	801.02	154	5.2	1	1	6	1	1	1	0	1	1	1	1	1	630640	                      graph_bin_annot3(4,628000,632000,c(5,6))		One-Sided	NCO
55	TMZ1	1500	TMZ	1	4	681895	681918	681992	682073	681906.5	682032.5	03:05	1	75	126	177	1	126	74	178	681895_681992	681918_682073	681992_720763	682073_721179	59.72	15	4.05	4	4	3	1	2	1	0	1	1	1	1	1	681992	                      graph_bin_annot3(4,680000,683000,c(3,4))		One-Sided	NCO
56	TMZ1	1500	TMZ	1	4	720763	721179	721365	721724	720970.75	721544.75	6:2_5:3	1	187	574	960	2	260_314	                      0_82	520_545	720763_721179_721365	721179_721283_721724	721179_721365_751285	721283_721724_751326	69.59	80	0.87	3	1_2	12_1	1	7	1	0	1	1	1	1	1	721365	                      graph_bin_annot3(4,719000,722000,c(1,2))		Full Conversion	NCO
57	TMZ1	1500	TMZ	1	4	751285	751326	751490	751579	751305.5	751534.5	03:05	1	165	229	293	1	229	164	294	751285_751490	751326_751579	751490_768208	751579_768306	148.56	24	6.09	2	2	3	1	2	1	0	1	1	1	1	1	751490	                      graph_bin_annot3(4,750000,752000,c(3,4))		One-Sided	NCO
58	TMZ1	1500	TMZ	1	4	768208	768306	768390	769038	768257	768714	03:05	1	85	457	829	1	457	84	830	768208_768390	768306_769038	768390_835319	769038_835444	185.57	69	2.69	3	3	7	1	2	1	0	1	1	1	1	1	768390	                      graph_bin_annot3(4,767000,770000,c(7,8))		One-Sided	NCO
59	TMZ1	1500	TMZ	1	4	835319	835444	836436	836558	835381.25	836497.25	3:5_4:4_3:5	1	993	1116	1238	3	354_556_205	                      0_120_0	709_992_410	835319_835444_836148_836436	835444_836028_836436_836558	835444_836148_836436_870950	836028_836436_836558_871373	4118.6	103	39.96	5	1_3_1	7_7_7	1	4	1	0	1	1	1	1	1	836436	                      graph_bin_annot3(4,834000,837000,c(7,8))		One-Sided + patch	NCO
60	TMZ1	1500	TMZ	1	4	870950	871373	871412	871540	871161.75	871475.75	05:03	1	40	314	589	1	314	39	590	870950_871412	871373_871540	871412_955831	871540_956552	22.21	49	0.45	2	2	6	1	1	1	0	1	1	1	1	1	871412	                      graph_bin_annot3(4,869000,872000,c(5,6))		One-Sided	NCO
61	TMZ1	1500	TMZ	1	4	955831	956552	957131	957311	956191.25	957221.25	05:03	1	580	1030	1479	1	1030	579	1480	955831_957131	956552_957311	957131_959874	957311_959997	5.43	123	0.04	4	4	2	1	1	1	0	1	1	1	1	1	957131	                      graph_bin_annot3(4,954000,958000,c(1,2))		One-Sided	NCO
62	TMZ1	1500	TMZ	1	4	959874	959997	959997	960100	959935.5	960048.5	03:05	1	1	113	225	1	113	0	226	959874_959997	959997_960100	959997_1031350	960100_1031473	126.35	19	6.75	1	1	3	1	2	1	0	1	1	1	1	1	959997	                      graph_bin_annot3(4,958000,961000,c(3,4))		One-Sided	NCO
63	TMZ1	1500	TMZ	1	4	1031350	1031473	1032120	1032245	1031411.5	1032182.5	5:3_4:4_5:3_6:2	1	648	771	894	4	268_189_198_115	                      164_0_0_0	373_378_397_230	1031350_1031637_1031723_1032015_1032120	1031473_1031723_1032015_1032120_1032245	1031637_1031723_1032015_1032120_1062818	1031723_1032015_1032120_1032245_1062952	389.9	74	5.24	6	3_1_1_1	2_2_2_1	1	7	1	0	1	1	1	1	1	1032120	                      graph_bin_annot3(4,1030000,1033000,c(1,2))		Full Conversion	NCO
64	TMZ1	1500	TMZ	1	4	1062818	1062952	1063008	1063031	1062885.25	1063019.25	5:3_6:2	1	57	134	212	2	110_25	                      29_0	190_50	1062818_1062981_1063008	1062952_1063008_1063031	1062981_1063008_1126921	1063008_1063031_1127082	151.02	18	8.56	3	2_1	2_1	1	7	1	0	1	1	1	1	1	1063008	                      graph_bin_annot3(4,1061000,1064000,c(1,2))		Full Conversion	NCO
65	TMZ1	1500	TMZ	1	4	1126921	1127082	1129980	1130680	1127001.75	1130329.75	5:3_4:4_5:3	1	2899	3328	3758	3	1798_608_922	                      1681_0_0	1916_1217_1843	1126921_1128763_1128837_1129980	1127082_1128837_1129980_1130680	1128763_1128837_1129980_1161630	1128837_1129980_1130680_1161688	387.92	313	1.24	16	14_1_1	2_2_2	1	3	1	0	1	1	1	1	1	1129980	                      graph_bin_annot3(4,1125000,1131000,c(1,2))		One-Sided + patch	NCO
66	TMZ1	1500	TMZ	1	4	1161630	1161688	1161688	1161744	1161659	1161716	03:05	1	1	57	113	1	57	0	114	1161630_1161688	1161688_1161744	1161688_1235870	1161744_1236152	40.96	9	4.35	1	1	3	1	2	1	0	1	1	1	1	1	1161688	                      graph_bin_annot3(4,1160000,1162000,c(3,4))		One-Sided	NCO
67	TMZ1	1500	TMZ	1	4	1235870	1236152	1236763	1237229	1236011	1236996	3:5_4:4_2:6_3:5	1	612	985	1358	4	207_294_168_316	                      0_143_0_0	414_446_336_631	1235870_1236152_1236427_1236598_1236763	1236152_1236284_1236598_1236763_1237229	1236152_1236427_1236598_1236763_1279422	1236284_1236598_1236763_1237229_1279680	48.86	113	0.43	5	1_2_1_1	3_3_34_4	1	4	1	0	1	1	1	1	1	1236763	                      graph_bin_annot3(4,1234000,1238000,c(3,4))		One-Sided + patch	NCO
