id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_PAN	LocalEventHpM_NWT	LocalEventHpM_NTEL	LocalEventHpM_DC	CO_NCO
14	OM1	1500	OM	1	2	392022	392544	393197	393340	392282.75	393268.75	06:02	1	654	986	1317	1	986	653	1318	392022_393197	392544_393340	393197_430067	393340_431229	568.56	110	5.18	3	3	78	1	10	1	0	1	1	1	1	1	392775.75	392775.75	NA	NA	"                      graph_bin_annot3(2,391000,394000,c(7,8))"		Full Conversion	658.5	568.5587	541.4212	652.0464	9.3162	NCO
15	OM1	1500	OM	1	2	430067	431229	435951	436119	430648	436035	(3:5)_(3:5a)_(2:6)_(3:5)_(4:4)_(3:5)_(5:3)_(4:4aCO)	3	4723	5387	6051	0	798_731_1387_893_403_950_225	                      0_362_943_574_0_433_0	1596_1100_1831_1212_806_1467_450	430067_431229_432025_433272_434430_434484_435669_435951	431229_431663_432329_433856_434484_435236_435951_436119	431229_432025_433272_434430_434484_435669_435951_466266	431663_432329_433856_434484_435236_435951_436119_466523	705.76	504	1.4	29	1_6_14_3_1_3_1	3_45_5_4_3_3_78	0	2	2	1	1	2	2	1	1	433341.5	431994.75	434688.25	NA	"                      graph_bin_annot3(2,429000,437000,c(3,4,5,6,7,8))"		>2 Chr CO	3025.5	705.763	555.2617	674.2914	11.6578	CO
16	OM1	1500	OM	1	2	466266	466523	467353	468345	466394.75	467848.75	5:3_4:4_5:3a_4:4_5:3a	1	831	1454	2078	5	147_88_184_400_636	                      0_0_0_145_0	294_175_368_655_1272	466266_466523_466560_466698_467073_467353	466523_466560_466698_466928_467353_468345	466523_466560_466698_467073_467353_504535	466560_466698_466928_467353_468345_504568	570.04	173	3.29	7	1_1_1_3_1	3_3_4_4_4	2	17	1	0	1	1	1	1	1	467121.75	467121.75	NA	NA	"                      graph_bin_annot3(2,465000,469000,c(3,4))"		Two-Sided + patch	1039	570.0393	678.4794	618.534	19.7394	NCO
17	OM1	1500	OM	1	2	504535	504568	505298	506138	504551.75	505717.75	(6:2)_(4:4aCO)	2_nonsis	731	1166	1602	2	1166	730	1603	504535_505298	504568_506138	505298_558042	506138_558499	400.75	133	3	7	7	56	1	15	1	1	0	1	2	1	0	505134.75	505134.75	NA	NA	"                      graph_bin_annot3(2,503000,507000,c(5,6,7,8))"		Full Conversion	801	400.7549	146.5078	147.7409	1.623	CO
18	OM1	1500	OM	1	2	558042	558499	558499	558576	558270.5	558537.5	06:02	1	1	267	533	1	267	0	534	558042_558499	558499_558576	558499_611338	558576_611905	10.36	44	0.23	1	1	78	1	10	1	0	1	1	1	1	1	558404	558404	NA	NA	"                      graph_bin_annot3(2,557000,559000,c(7,8))"		Full Conversion	266.5	10.3644	9.216	8.4419	0.0516	NCO
19	OM1	1500	OM	1	2	611338	611905	611905	613145	611621.25	612525.25	(6:2)_(4:4aCO)	2_nonsis	1	904	1806	2	904	0	1807	611338_611905	611905_613145	611905_641433	613145_641467	41.46	150	0.28	1	1	78	1	15	1	1	0	1	2	1	0	612073.25	612073.25	NA	NA	"                      graph_bin_annot3(2,610000,614000,c(5,6,7,8))"		Full Conversion	903	41.4574	61.7913	57.1792	0.5928	CO
20	OM1	1500	OM	1	2	641433	641467	642776	643134	641450	642955	5:3_4:4_5:3	1	1310	1505	1700	3	590_590_326	                      447_318_0	732_862_651	641433_641914_642483_642776	641467_642165_642776_643134	641914_642483_642776_661374	642165_642776_643134_662094	2789	142	19.7	8	2_5_1	5_5_5	1	3	1	0	1	1	1	1	1	642202.5	642202.5	NA	NA	"                      graph_bin_annot3(2,640000,644000,c(5,6))"		One-Sided + patch	850	2788.9976	2405.7454	2166.1762	196.946	NCO
21	OM1	1500	OM	1	2	661374	662094	662444	666708	661734	664576	(2:6)_(4:4aCO)	2_nonsis	351	2842	5333	2	2842	350	5334	661374_662444	662094_666708	662444_679385	666708_680044	1862.13	444	4.19	3	3	78	1	16	1	1	0	1	2	1	0	663155	663155	NA	NA	"                      graph_bin_annot3(2,660000,667000,c(5,6,7,8))"		Full Conversion	2666.5	1862.1285	2707.38	2613.0483	198.4948	CO
22	OM1	1500	OM	1	2	679385	680044	681414	681557	679714.5	681485.5	6:2_4:4_6:2	1	1371	1771	2171	3	670_561_540	                      0_0_248	1341_1122_831	679385_680044_680726_681414	680044_680726_681166_681557	680044_680726_681414_701354	680726_681166_681557_701832	910.09	181	5.03	4	1_1_2	78_78_78	1	7	1	0	1	1	1	1	1	680600	680600	NA	NA	"                      graph_bin_annot3(2,678000,682000,c(7,8))"		Full Conversion	1085.5	910.0888	1002.4748	979.8362	52.5734	NCO
23	OM1	1500	OM	1	2	701354	701832	703042	703256	701593	703149	3:5_4:4_3:5a	1	1211	1556	1901	3	603_662_292	                      39_152_0	1167_1171_583	701354_701871_702673_703042	701832_702521_703042_703256	701871_702673_703042_730662	702521_703042_703256_730763	1332.56	158	8.42	6	2_3_1	5_5_6	2	16	1	0	1	1	1	1	1	702371	702371	NA	NA	"                      graph_bin_annot3(2,700000,704000,c(5,6))"		Two-Sided	950.5	1332.5595	924.4117	1387.9146	32.9254	NCO
24	OM1	1500	OM	1	2	730662	730763	731596	731934	730712.75	731764.75	05:03	1	834	1052	1271	1	1052	833	1272	730662_731596	730763_731934	731596_767058	731934_767298	39.98	106	0.38	12	12	4	1	1	1	0	1	1	1	1	1	731238.75	731238.75	NA	NA	"                      graph_bin_annot3(2,729000,732000,c(3,4))"		One-Sided	635.5	39.9768	27.1317	13.1513	0.4442	NCO
25	OM1	1500	OM	1	2	767058	767298	768073	769699	767178	768886	3:5_3:5a	1	776	1708	2640	2	574_1134	                      132_0	1015_2269	767058_767430_768073	767298_768073_769699	767430_768073_786902	768073_769699_787329	172.74	220	0.79	4	3_1	1_12	2	12	1	0	1	1	1	1	1	768032	768032	NA	NA	"                      graph_bin_annot3(2,766000,770000,c(1,2))"		Two-Sided	1320	172.7392	202.1668	220.8306	3.5532	NCO
26	OM1	1500	OM	1	2	786902	787329	787939	788189	787115.75	788063.75	5:3_6:2_5:3	1	611	948	1286	3	511_94_344	                      291_5_136	731_183_551	786902_787620_787638_787939	787329_787633_787803_788189	787620_787638_787939_800937	787633_787803_788189_813184	56.76	107	0.53	11	5_2_4	4_3_3	1	3	1	0	1	1	1	1	1	787589.75	787589.75	NA	NA	"                      graph_bin_annot3(2,785000,789000,c(3,4))"		One-Sided + patch	643	56.7572	99.764	135.5845	1.7894	NCO
27	OM1	1500	OM	1	3	77900	78844	77900	78844	78136	78608	(4:4aCO)	2_nonsis	0	472	943	1	0	0	0	77900	78844	96055	96799	255.65	79	3.26	0	0	0	1	100	1	1	0	1	1	0	0	78372	78372	NA	NA	"                      graph_bin_annot3(3,76000,79000,c(5,6,7,8))"		No Strand Transfer	471.5	255.654	1038.0596	1323.2496	67.1846	CO
28	OM1	1500	OM	1	3	96055	96799	97696	98578	96427	98137	2:6_3:5	2_nonsis	898	1710	2522	2	470_1240	                      6_708	933_1773	96055_96805_97696	96799_96988_98578	96805_97696_146470	96988_98578_146649	52.81	210	0.25	5	2_3	78_6	3	30	1	0	1	1	2	2	1	97282	97282	NA	NA	"                      graph_bin_annot3(3,95000,99000,c(5,6,7,8))"		Two Chr	1261	52.8088	182.3992	154.3206	2.124	NCO
29	OM1	1500	OM	1	3	146470	146649	146949	147882	146559.5	147415.5	(2:6)_(4:4)_(4:4aCO)	2_nonsis	301	856	1411	3	195_661	                      0_89	390_1233	146470_146649_146949	146649_146860_147882	146649_146949_207534	146860_147882_207705	68.6	117	0.58	3	1_2	78_78	1	12	1	1	0	1	1	0	0	146987.5	146987.5	NA	NA	"                      graph_bin_annot3(3,145000,148000,c(3,4,7,8))"		One-Sided Unidirectional	705.5	68.6021	140.3525	125.6125	0.7266	CO
30	OM1	1500	OM	1	3	207534	207705	208489	208699	207619.75	208593.75	3:5_3:5a	1	785	974	1164	2	400_575	                      261_417	538_733	207534_207966_208489	207705_208072_208699	207966_208489_225200	208072_208699_225631	281.32	97	2.9	6	2_4	4_34	2	12	1	0	1	1	1	1	1	208106.75	208106.75	NA	NA	"                      graph_bin_annot3(3,206000,209000,c(3,4))"		Two-Sided	582	281.3181	320.745	281.2981	10.4396	NCO
31	OM1	1500	OM	1	3	225200	225631	225200	225631	225308	225523	(4:4aCO)	2_nonsis	0	215	430	1	0	0	0	225200	225631	238725	238995	1911.48	36	53.39	0	0	0	1	100	1	1	0	1	1	0	0	225415.5	225415.5	NA	NA	"                      graph_bin_annot3(3,224000,226000,c(1,2,7,8))"		No Strand Transfer	215	1911.4825	1518.6689	1724.0373	151.5238	CO
32	OM1	1500	OM	1	3	238725	238995	239515	240922	238860.25	240218.25	03:05	1	521	1358	2196	1	1358	520	2197	238725_239515	238995_240922	239515_272348	240922_273723	297.6	183	1.63	5	5	3	1	2	1	0	1	1	1	1	1	239539.25	239539.25	NA	NA	"                      graph_bin_annot3(3,237000,241000,c(3,4))"		One-Sided	1098	297.6049	521.1311	493.3056	10.2642	NCO
33	OM1	1500	OM	1	3	272348	273723	276551	277187	273035.25	276869.25	(5:3)_(4:4)_(5:3)_(6:2)_(4:4aCO)	2_nonsis	2829	3834	4838	5	1176_637_372_1648	                      450_429_0_1128	1902_845_744_2169	272348_274173_274679_275018_276551	273723_274250_275018_275423_277187	274173_274679_275018_276551_303499	274250_275018_275423_277187_316620	388.42	403	0.96	23	11_6_1_5	1_1_1_2	1	12	1	1	0	1	1	0	0	274952.25	274952.25	NA	NA	"                      graph_bin_annot3(3,271000,278000,c(1,2,3,4))"		One-Sided Unidirectional	2419	388.4164	660.5484	518.2118	16.0916	CO
34	OM1	1500	OM	1	4	61175	61275	62205	62366	61225.25	62285.25	(3:5)_(6:2)_(5:3)_(4:4aCO)	2_nonsis	931	1060	1190	4	443_465_152	                      0_0_0	886_930_305	61175_61275_62061_62205	61275_62061_62205_62366	61275_62061_62205_64539	62061_62205_62366_64917	703.3	99	7.1	3	1_1_1	4_478_4	3	20	1	1	0	2	2	1	1	61755.25	61755.25	NA	NA	"                      graph_bin_annot3(4,60000,63000,c(3,4,7,8))"		One-Sided Bidirectional	595	703.2953	335.1775	466.5672	7.0354	CO
35	OM1	1500	OM	1	4	64539	64917	66855	67141	64728	66998	(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	2_nonsis	1939	2270	2601	6	364_808_388_86_625	                      33_337_0_0_454	694_1280_775_171_796	64539_64950_65570_66230_66345_66855	64917_65233_66230_66345_66401_67141	64950_65570_66230_66345_66855_68799	65233_66230_66345_66401_67141_69384	45.41	217	0.21	14	2_6_1_1_4	4_2_1_4_4	3	21	1	1	0	2	2	1	1	65863	65863	NA	NA	"                      graph_bin_annot3(4,63000,68000,c(1,2,3,4))"		Two-Sided Bidirectional	1300.5	45.4057	59.9089	59.1078	0	CO
36	OM1	1500	OM	1	4	68799	69384	69990	70167	69091.5	70078.5	(5:3)_(4:4aCO)	2_nonsis	607	987	1367	2	987	606	1368	68799_69990	69384_70167	69990_71525	70167_71645	43.43	114	0.38	3	3	5	1	1	1	1	0	1	1	0	0	69585	69585	NA	NA	"                      graph_bin_annot3(4,67000,71000,c(3,4,5,6))"		One-Sided Unidirectional	683.5	43.4316	77.8568	80.2562	0.4064	CO
37	OM1	1500	OM	1	4	71525	71645	71743	72032	71585.25	71887.25	05:03	1	99	302	506	1	302	98	507	71525_71743	71645_72032	71743_164096	72032_164298	3.95	42	0.09	2	2	4	1	1	1	0	1	1	1	1	1	71736.25	71736.25	NA	NA	"                      graph_bin_annot3(4,70000,73000,c(3,4))"		One-Sided	253	3.9483	0.8445	0.2232	0	NCO
38	OM1	1500	OM	1	4	164096	164298	164096	164298	164147	164247	(4:4aCO)	2_nonsis	0	100	201	1	0	0	0	164096	164298	278692	280191	318.83	17	19.05	0	0	0	1	100	1	1	0	1	1	0	0	164197	164197	NA	NA	"                      graph_bin_annot3(4,163000,165000,c(3,4,5,6))"		No Strand Transfer	100.5	318.8272	392.5452	391.5062	7.3038	CO
39	OM1	1500	OM	1	4	278692	280191	281647	281853	279441.75	281749.75	(2:6)_(4:4aCO)_(6:2)_(5:3)_(4:4a)	2_nonsis	1457	2308	3160	5	953_253_370_732	                      0_0_237_545	1906_506_504_919	278692_280191_280598_280934_281647	280191_280598_280697_281102_281853	280191_280598_280934_281647_410728	280598_280697_281102_281853_411048	17.77	263	0.07	15	1_1_4_9	34_56_34_3	3	20	1	1	0	2	2	1	1	280595.75	280595.75	NA	NA	"                      graph_bin_annot3(4,277000,282000,c(3,4,5,6))"		One-Sided Bidirectional	1580	17.7675	10.7002	6.376	0	CO
40	OM1	1500	OM	1	4	410728	411048	411335	411785	410888	411560	(2:6)_(4:4aCO)	2_nonsis	288	672	1056	2	672	287	1057	410728_411335	411048_411785	411335_476888	411785_477034	176.19	88	2	2	2	78	1	16	1	1	0	1	2	1	0	411224	411224	NA	NA	"                      graph_bin_annot3(4,409000,412000,c(3,4,7,8))"		Full Conversion	528	176.194	198.6482	185.1274	1.677	CO
41	OM1	1500	OM	1	4	476888	477034	478019	478092	476961.25	478055.25	5:3_5:3a	1	986	1094	1203	2	734_361	                      551_215	916_507	476888_477585_478019	477034_477804_478092	477585_478019_614321	477804_478092_614433	73.54	100	0.73	8	5_3	2_12	2	11	1	0	1	1	1	1	1	477508.25	477508.25	NA	NA	"                      graph_bin_annot3(4,475000,479000,c(1,2))"		Two-Sided	601.5	73.5375	75.8375	78.2992	0.3996	NCO
42	OM1	1500	OM	1	4	614321	614433	617533	617915	614377	617724	(5:3)_(6:2)_(5:3a)_(4:4aCO)	2_nonsis	3101	3347	3593	4	81_1839_1427	                      0_1731_1153	162_1947_1701	614321_614433_616214_617533	614433_614483_616380_617915	614433_616214_617533_699938	614483_616380_617915_700023	450.11	299	1.5	38	1_27_10	2_1_5	2	32	1	1	0	1	1	0	0	616050.5	616050.5	NA	NA	"                      graph_bin_annot3(4,613000,618000,c(1,2,5,6))"		Two-Sided Unidirectional	1796.5	450.109	622.0584	531.0909	12.1644	CO
43	OM1	1500	OM	1	4	699938	700023	700170	700186	699980.25	700178.25	(2:6)_(4:4aCO)	2_nonsis	148	198	247	2	198	147	248	699938_700170	700023_700186	700170_743651	700186_743850	19.74	21	0.96	3	3	34	1	16	1	1	0	1	2	1	0	700079.25	700079.25	NA	NA	"                      graph_bin_annot3(4,698000,701000,c(3,4,5,6))"		Full Conversion	123.5	19.7416	14.7436	12.7873	0	CO
44	OM1	1500	OM	1	4	743651	743850	744435	745067	743750.75	744750.75	5:3_5:3a	1	586	1000	1415	2	282_718	                      0_220	564_1217	743651_743850_744435	743850_744215_745067	743850_744435_787173	744215_745067_787632	135.23	118	1.15	4	1_3	4_34	2	11	1	0	1	1	1	1	1	744250.75	744250.75	NA	NA	"                      graph_bin_annot3(4,742000,746000,c(3,4))"		Two-Sided	707.5	135.2301	97.5358	111.1788	0.7398	NCO
45	OM1	1500	OM	1	4	787173	787632	787632	787723	787402.5	787677.5	05:03	1	1	275	549	1	275	0	550	787173_787632	787632_787723	787632_816853	787723_817682	46.89	46	1.03	1	1	3	1	1	1	0	1	1	1	1	1	787540	787540	NA	NA	"                      graph_bin_annot3(4,786000,788000,c(3,4))"		One-Sided	274.5	46.8864	43.9641	44.0687	0.11	NCO
46	OM1	1500	OM	1	4	816853	817682	817919	818507	817267.25	818213.25	(3:5)_(3:5a)_(4:4aCO)	2_nonsis	238	946	1653	3	500_445	                      0_65	1001_825	816853_817682_817919	817682_817854_818507	817682_817919_908967	817854_818507_909447	144.61	138	1.05	3	1_2	2_12	2	31	1	1	0	1	1	0	0	817740.25	817740.25	NA	NA	"                      graph_bin_annot3(4,815000,819000,c(1,2,7,8))"		Two-Sided Unidirectional	826.5	144.6074	92.6552	92.6901	0.6528	CO
47	OM1	1500	OM	1	4	908967	909447	909447	909908	909207.25	909677.25	(6:2)_(4:4aCO)	2_nonsis	1	470	940	2	470	0	941	908967_909447	909447_909908	909447_1004000	909908_1004480	356.83	78	4.56	1	1	34	1	15	1	1	0	1	2	1	0	909442.25	909442.25	NA	NA	"                      graph_bin_annot3(4,907000,910000,c(3,4,7,8))"		Full Conversion	470	356.8298	292.8936	283.2551	4.0214	CO
48	OM1	1500	OM	1	4	1004000	1004480	1005656	1005728	1004240	1005692	3:5_4:4_3:5a	1	1177	1452	1727	3	660_690_102	                      273_520_42	1047_861_161	1004000_1004753_1005567_1005656	1004480_1005047_1005614_1005728	1004753_1005567_1005656_1015515	1005047_1005614_1005728_1016282	449.12	144	3.12	8	2_4_2	5_5_6	2	16	1	0	1	1	1	1	1	1004966	1004966	NA	NA	"                      graph_bin_annot3(4,1003000,1006000,c(5,6))"		Two-Sided	863.5	449.1219	302.4038	289.4467	10.3442	NCO
49	OM1	1500	OM	1	4	1015515	1016282	1016332	1016426	1015898.75	1016378.75	05:03	1	51	480	910	1	480	50	911	1015515_1016332	1016282_1016426	1016332_1044635	1016426_1044751	34.55	76	0.46	2	2	1	1	1	1	0	1	1	1	1	1	1016138.75	1016138.75	NA	NA	"                      graph_bin_annot3(4,1014000,1017000,c(1,2))"		One-Sided	455	34.5478	30.3105	34.0578	0.22	NCO
50	OM1	1500	OM	1	4	1044635	1044751	1045062	1045735	1044692.75	1045398.75	(6:2)_(4:4aCO)	2_nonsis	312	706	1099	2	706	311	1100	1044635_1045062	1044751_1045735	1045062_1102674	1045735_1103455	170.77	92	1.87	2	2	78	1	15	1	1	0	1	2	1	0	1045045.75	1045045.75	NA	NA	"                      graph_bin_annot3(4,1043000,1046000,c(5,6,7,8))"		Full Conversion	549.5	170.765	235.0636	239.8986	2.0878	CO
51	OM1	1500	OM	1	4	1102674	1103455	1103488	1104014	1103064.75	1103750.75	02:06	1	34	686	1339	1	686	33	1340	1102674_1103488	1103455_1104014	1103488_1241519	1104014_1242168	81.93	111	0.73	3	3	78	1	10.1	1	0	1	1	1	1	1	1103407.75	1103407.75	NA	NA	"                      graph_bin_annot3(4,1101000,1105000,c(7,8))"		Full Conversion	669.5	81.9277	74.967	71.5487	0.4932	NCO
52	OM1	1500	OM	1	4	1241519	1242168	1242658	1246191	1241843.5	1244424.5	(3:5)_(2:6)_(4:4aCO)	2_nonsis	491	2581	4671	3	606_1975	                      73_0	1139_3950	1241519_1242241_1242658	1242168_1242658_1246191	1242241_1242658_1268647	1242658_1246191_1269918	1379.94	389	3.55	4	3_1	4_3	1	9	1	1	0	1	1	0	0	1243134	1243134	NA	NA	"                      graph_bin_annot3(4,1240000,1247000,c(3,4,5,6))"		One-Sided Unidirectional	2335.5	1379.9394	1152.9576	1342.6533	40.1894	CO
53	OM1	1500	OM	1	4	1268647	1269918	1269918	1270457	1269282.5	1270187.5	(6:2)_(4:4aCO)	2_nonsis	1	905	1809	2	905	0	1810	1268647_1269918	1269918_1270457	1269918_1355944	1270457_1357024	894.79	151	5.94	1	1	34	1	15	1	1	0	1	2	1	0	1269735	1269735	NA	NA	"                      graph_bin_annot3(4,1267000,1271000,c(3,4,5,6))"		Full Conversion	904.5	894.789	1123.5393	1147.857	40.7518	CO
54	OM1	1500	OM	1	4	1355944	1357024	1355944	1357024	1356214	1356754	(4:4aCO)	2_nonsis	0	540	1079	1	0	0	0	1355944	1357024	1509719	1509983	4.94	90	0.05	0	0	0	1	100	1	1	0	1	1	0	0	1356484	1356484	NA	NA	"                      graph_bin_annot3(4,1354000,1358000,c(5,6,7,8))"		No Strand Transfer	539.5	4.9354	5.7714	3.8484	0	CO
55	OM1	1500	OM	1	4	1509719	1509983	1510510	1511013	1509851.25	1510761.25	(2:6)_(4:4)_(2:6)_(4:4aCO)	2_nonsis	528	910	1293	4	346_264_301	                      0_0_0	692_527_602	1509719_1509983_1510411_1510510	1509983_1510411_1510510_1511013	1509983_1510411_1510510_1523226	1510411_1510510_1511013_1531933	4.94	108	0.05	3	1_1_1	34_34_34	1	12	1	1	0	1	1	0	0	1510306.25	1510306.25	NA	NA	"                      graph_bin_annot3(4,1508000,1512000,c(1,2,3,4))"		One-Sided Unidirectional	646.5	4.9354	15.231	17.7871	0	CO
